Impression ID,User ID,Date,News1,Impression_News1,News2,Impression_News2,News3,Impression_News3
31,U85394,11/10/2019,N61022,0,N49279,1,N44651,0
82,U66486,11/12/2019,N42977,1,N7821,0,N33885,0
103,U29279,11/11/2019,N56193,1,N62729,0,N35729,0
176,U82278,11/11/2019,N23429,1,N21479,0,N2823,0
199,U16225,11/12/2019,N62360,1,N41020,0,N49180,0
253,U31178,11/11/2019,N42597,0,N46029,1,N54489,0
259,U16818,11/11/2019,N50675,1,N54489,0,N16920,0
295,U11858,11/9/2019 ,N36752,0,N47020,1,N1034,0
306,U44264,11/10/2019,N44651,0,N61022,0,N49279,1
308,U93817,11/11/2019,N55689,1,N27581,0,N6693,0
481,U54057,11/12/2019,N52122,0,N62360,0,N7319,1
608,U21331,11/11/2019,N23429,0,N33619,1,N50675,0
624,U18301,11/12/2019,N49180,0,N41020,0,N33619,1
642,U21937,11/9/2019 ,N47020,0,N36752,0,N1034,1
646,U51669,11/9/2019 ,N51398,0,N27845,0,N41881,1
661,U69929,11/9/2019 ,N23548,0,N47020,0,N1034,1
751,U68119,11/12/2019,N50675,0,N33619,0,N20079,1
802,U40488,11/11/2019,N33632,0,N57090,0,N27581,1
891,U67885,11/11/2019,N54489,0,N23414,1,N46029,0
984,U24102,11/11/2019,N53585,0,N55689,1,N23414,0
1032,U58885,11/13/2019,N47020,1,N56214,0,N49483,0
1063,U48305,11/9/2019 ,N41881,1,N51398,0,N47020,0
1127,U69520,11/11/2019,N53585,1,N61549,0,N55689,0
1132,U86756,11/11/2019,N35729,1,N59981,0,N21707,0
1197,U41183,11/12/2019,N50675,0,N33619,1,N47578,0
1267,U77228,11/11/2019,N55204,1,N43502,0,N21707,0
1288,U48524,11/13/2019,N56214,1,N19592,0,N4642,0
1305,U3467,11/9/2019 ,N41881,1,N51398,0,N27845,0
1368,U40694,11/11/2019,N53585,1,N55689,0,N23414,0
1431,U3036,11/12/2019,N47578,0,N50675,0,N33619,1
1527,U31631,11/10/2019,N1034,0,N510,0,N30814,1
1571,U81765,11/11/2019,N46526,0,N54489,1,N8191,0
1594,U79678,11/10/2019,N36681,0,N49279,1,N44651,0
1628,U29542,11/13/2019,N64252,0,N56214,0,N4642,1
1681,U45825,11/14/2019,N23877,1,N12330,0,N49712,0
1728,U62268,11/10/2019,N41739,0,N21342,0,N29121,1
1735,U4984,11/10/2019,N44651,0,N49279,1,N36681,0
1783,U55061,11/11/2019,N55689,0,N23414,1,N13930,0
1817,U415,11/13/2019,N39010,1,N287,0,N47061,0
1981,U38678,11/11/2019,N46029,0,N54489,1,N42597,0
1982,U73551,11/11/2019,N59981,0,N55689,0,N7809,1
2025,U611,11/11/2019,N49685,1,N27581,0,N35729,0
2062,U43315,11/11/2019,N55689,1,N45270,0,N55204,0
2103,U81787,11/14/2019,N39931,0,N6578,1,N50872,0
2161,U73205,11/10/2019,N61022,0,N49279,1,N44651,0
2220,U87774,11/9/2019 ,N27845,1,N52000,0,N59852,0
2243,U40130,11/11/2019,N55204,0,N53585,1,N55689,1
2246,U19015,11/11/2019,N55204,0,N55689,1,N45270,0
2262,U60185,11/12/2019,N7319,0,N41020,0,N33619,1
2275,U82978,11/10/2019,N49279,1,N44651,0,N61022,0
2305,U49247,11/10/2019,N61022,0,N44651,0,N49279,1
2311,U24260,11/9/2019 ,N24272,0,N41881,0,N27845,1
2465,U24985,11/12/2019,N33619,0,N20079,1,N28495,0
2522,U15554,11/12/2019,N64851,0,N36850,0,N28495,1
2607,U13633,11/11/2019,N54489,0,N42597,0,N46029,1
2663,U88193,11/10/2019,N61022,0,N44651,0,N49279,1
2719,U16011,11/11/2019,N53585,1,N45270,0,N55689,0
2764,U21519,11/11/2019,N53585,0,N55689,0,N23414,1
2833,U65361,11/10/2019,N49685,1,N57651,0,N36681,0
2839,U7884,11/12/2019,N50675,0,N7319,0,N33619,1
2850,U10276,11/13/2019,N11551,1,N4642,0,N11817,0
2955,U16761,11/11/2019,N55689,1,N13930,0,N53585,0
2970,U16248,11/11/2019,N46029,1,N53585,0,N54489,0
3043,U70791,11/11/2019,N50675,0,N36789,0,N33619,1
3066,U76079,11/10/2019,N61022,0,N49279,1,N44651,0
3136,U53944,11/10/2019,N36681,0,N49685,0,N26952,1
3195,U24584,11/13/2019,N33831,0,N51048,0,N1940,1
3202,U33363,11/11/2019,N55204,0,N55689,0,N45270,1
3270,U70061,11/11/2019,N54489,1,N23414,0,N46029,0
3277,U92665,11/11/2019,N8191,0,N46526,0,N54489,1
3291,U21004,11/12/2019,N58363,1,N63970,0,N64851,0
3301,U90121,11/11/2019,N46526,0,N8191,0,N54489,1
3352,U45221,11/10/2019,N49279,1,N44651,0,N61022,0
3376,U90068,11/9/2019 ,N1034,0,N65185,1,N47020,0
3405,U38678,11/11/2019,N54489,1,N42597,0,N46029,0
3409,U11575,11/10/2019,N44651,0,N49279,1,N61022,0
3499,U38559,11/11/2019,N53585,1,N55204,0,N55689,0
3627,U10318,11/9/2019 ,N51398,0,N41881,1,N27845,0
3776,U93233,11/12/2019,N62360,0,N52122,0,N63970,1
3790,U83658,11/13/2019,N34612,0,N46939,1,N47061,0
3823,U44765,11/11/2019,N35729,0,N55689,1,N6693,0
3852,U49157,11/10/2019,N49279,1,N44651,0,N61022,0
3893,U7212,11/10/2019,N61022,0,N49279,1,N44651,0
3900,U23795,11/11/2019,N50675,0,N33619,0,N23429,1
